file,path,algo,seed,num_vars,num_clauses,best_c,cpu_time
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,8,50,218,217,0.329489
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,9,50,218,217,0.315162
uf50-06.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-06.cnf,walksat,10,50,218,217,0.322451
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,1,50,218,218,0.143984
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,2,50,218,218,0.050762
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,3,50,218,218,0.009443
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,4,50,218,218,0.037402
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,5,50,218,218,0.032235
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,6,50,218,218,0.007391
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,7,50,218,218,0.031327
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,8,50,218,218,0.009366
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,9,50,218,218,0.010717
uf50-07.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-07.cnf,walksat,10,50,218,218,0.013338
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,1,50,218,218,0.024030
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,2,50,218,218,0.022956
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,3,50,218,218,0.180669
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,4,50,218,218,0.074608
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,5,50,218,218,0.185586
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,6,50,218,218,0.208505
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,7,50,218,217,0.319254
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,8,50,218,218,0.154100
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,9,50,218,218,0.050367
uf50-08.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-08.cnf,walksat,10,50,218,217,0.322729
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,1,50,218,218,0.028278
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,2,50,218,218,0.010999
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,3,50,218,218,0.012346
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,4,50,218,217,0.322518
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,5,50,218,217,0.318852
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,6,50,218,217,0.316672
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,7,50,218,217,0.329437
uf50-09.cnf,.\PA3_Benchmarks\PA3_Benchmarks\CNF Formulas\uf50-09.cnf,walksat,8,50,218,218,0.011761
